d,n_bits,intentos_teoricos,intentos_media,intentos_mediana,desviacion_intentos,tiempo_medio_ms,repeticiones,error_relativo
3,12,4096,4211.57,3023.0,3783.6945529201985,151.58022499759682,100,0.02821533203124993
4,16,65536,52958.11,42902.0,46941.982406373754,2989.9702229956165,100,0.19192337036132812
5,20,1048576,877756.4666666667,563780.5,930981.6029721545,2576104.0656633093,30,0.1629062016805013
6,24,16777216,13479409.3,11948610.5,11237666.160852697,4354683.768500038,10,0.19656459689140315
7,28,268435456,429821378.3333333,218920444,434562974.70729023,25483270.855099894,3,0.6012094107766945
