d,n_bits,intentos_teoricos,intentos_media,intentos_mediana,desviacion_intentos,tiempo_medio_ms,repeticiones,error_relativo
3,12,4096,4551.21,3237.0,3976.1095657296555,314.0985310007818,100,0.11113525390625001
4,16,65536,60255.43,37305.5,59817.14597395799,4102.321193017997,100,0.08057510375976562
5,20,1048576,950484.1333333333,728721.0,840604.6213329585,85071.10360998195,30,0.09354769388834638
6,24,16777216,14245918.6,12765308.0,13280371.512909621,635488.6009800248,10,0.1508770823478699
7,28,268435456,211628060.66666666,123338280,176568437.70570013,7121828.168499982,3,0.21162403871615731
