d,n_bits,intentos_teoricos,intentos_media,intentos_mediana,desviacion_intentos,tiempo_medio_ms,repeticiones,error_relativo
3,12,80.21210478819201,80.72,78.0,40.64830186421623,7.084635999053717,100,0.006331902312614021
4,16,320.84841915276803,321.76,300.5,164.82375772658233,24.646562992129475,100,0.0028411573591014703
5,20,1283.3936766110721,1340.14,1171.0,698.8793364657274,98.66142000071704,50,0.04421583526792204
6,24,5133.5747064442885,6027.6,5988.0,3461.092821030588,516.6875800467096,20,0.17415258268929493
7,28,20534.298825777154,19180.6,18940.0,6947.7845421720185,1600.8005499839783,10,0.0659237910806006
